dataset,feature_mode,method,detection_type,k,event_id,node,event,event_start,event_end,detected,first_alarm_timestamp,detection_delay_seconds
bgpclear_apptraffic_2hourRun,CompleteFeatures,DBSCAN,temporal,4,9,spine1,clearBGP,1519095761.0,1519096061.0,True,1519095785.0,24.0
bgpclear_apptraffic_2hourRun,CompleteFeatures,DBSCAN,temporal,4,10,spine3,clearBGP,1519096368.0,1519096668.0,True,1519096396.0,28.0
bgpclear_apptraffic_2hourRun,CompleteFeatures,DBSCAN,temporal,4,11,leaf2,clearBGP,1519096976.0,1519097276.0,True,1519097000.0,24.0
bgpclear_apptraffic_2hourRun,CompleteFeatures,DBSCAN,temporal,5,0,leaf3,clearBGP,1519090293.0,1519090593.0,True,1519090327.0,34.0
bgpclear_apptraffic_2hourRun,CompleteFeatures,DBSCAN,temporal,5,1,spine4,clearBGP,1519090901.0,1519091201.0,True,1519090932.0,31.0
bgpclear_apptraffic_2hourRun,CompleteFeatures,DBSCAN,temporal,5,2,leaf4,clearBGP,1519091509.0,1519091809.0,False,,
bgpclear_apptraffic_2hourRun,CompleteFeatures,DBSCAN,temporal,5,3,leaf8,clearBGP,1519092116.0,1519092416.0,True,1519092149.0,33.0
bgpclear_apptraffic_2hourRun,CompleteFeatures,DBSCAN,temporal,5,4,leaf5,clearBGP,1519092724.0,1519093024.0,True,1519092757.0,33.0
bgpclear_apptraffic_2hourRun,CompleteFeatures,DBSCAN,temporal,5,5,spine2,clearBGP,1519093331.0,1519093631.0,True,1519093365.0,34.0
bgpclear_apptraffic_2hourRun,CompleteFeatures,DBSCAN,temporal,5,6,leaf7,clearBGP,1519093939.0,1519094239.0,True,1519093968.0,29.0
bgpclear_apptraffic_2hourRun,CompleteFeatures,DBSCAN,temporal,5,7,leaf1,clearBGP,1519094546.0,1519094846.0,True,1519094577.0,31.0
bgpclear_apptraffic_2hourRun,CompleteFeatures,DBSCAN,temporal,5,8,leaf6,clearBGP,1519095153.0,1519095453.0,True,1519095184.0,31.0
bgpclear_apptraffic_2hourRun,CompleteFeatures,DBSCAN,temporal,5,9,spine1,clearBGP,1519095761.0,1519096061.0,True,1519095790.0,29.0
bgpclear_apptraffic_2hourRun,CompleteFeatures,DBSCAN,temporal,5,10,spine3,clearBGP,1519096368.0,1519096668.0,True,1519096401.0,33.0
bgpclear_apptraffic_2hourRun,CompleteFeatures,DBSCAN,temporal,5,11,leaf2,clearBGP,1519096976.0,1519097276.0,True,1519097005.0,29.0
bgpclear_apptraffic_2hourRun,CompleteFeatures,DenStream,spatial,1,0,leaf3,clearBGP,1519090293.0,1519090593.0,True,1519090294.0,1.0
bgpclear_apptraffic_2hourRun,CompleteFeatures,DenStream,spatial,1,1,spine4,clearBGP,1519090901.0,1519091201.0,True,1519090906.0,5.0
