dataset,feature_mode,method,node,runtime_seconds,sample_count,feature_count,status
portflap_first,DataPlane,DenStream,spine2,0.18614200002048165,347,256,ok
portflap_first,DataPlane,DenStream,spine3,0.06825569999637082,347,128,ok
portflap_first,DataPlane,DenStream,spine4,0.25047349999658763,348,310,ok
portflap_first,CompleteFeatures,DenStream,leaf1,0.21281729999464005,350,217,ok
portflap_first,CompleteFeatures,DenStream,leaf2,0.18733590003103018,350,219,ok
portflap_first,CompleteFeatures,DenStream,leaf3,0.17671139998128638,349,159,ok
portflap_first,CompleteFeatures,DenStream,leaf5,0.14146799995796755,348,149,ok
portflap_first,CompleteFeatures,DenStream,leaf6,0.13834990002214909,348,183,ok
portflap_first,CompleteFeatures,DenStream,leaf7,0.1761988999787718,350,225,ok
portflap_first,CompleteFeatures,DenStream,leaf8,0.07829460001084954,349,94,ok
portflap_first,CompleteFeatures,DenStream,spine1,0.19876729999668896,348,265,ok
portflap_first,CompleteFeatures,DenStream,spine2,0.21814529999392107,347,266,ok
portflap_first,CompleteFeatures,DenStream,spine3,0.09135970001807436,347,136,ok
portflap_first,CompleteFeatures,DenStream,spine4,0.2389559000148438,348,319,ok
portflap_first,CompleteFeatures,DBSCAN,leaf1,0.026091500010807067,350,217,ok
portflap_first,CompleteFeatures,DBSCAN,leaf2,0.025370599993038923,350,219,ok
portflap_first,CompleteFeatures,DBSCAN,leaf3,0.022098399989772588,349,159,ok
portflap_first,CompleteFeatures,DBSCAN,leaf5,0.02848669997183606,348,149,ok
portflap_first,CompleteFeatures,DBSCAN,leaf6,0.028239100007340312,348,183,ok
portflap_first,CompleteFeatures,DBSCAN,leaf7,0.023610399977769703,350,225,ok
portflap_first,CompleteFeatures,DBSCAN,leaf8,0.02154530002735555,349,94,ok
portflap_first,CompleteFeatures,DBSCAN,spine1,0.022738599975127727,348,265,ok
portflap_first,CompleteFeatures,DBSCAN,spine2,0.022296199982520193,347,266,ok
portflap_first,CompleteFeatures,DBSCAN,spine3,0.020377399981953204,347,136,ok
portflap_first,CompleteFeatures,DBSCAN,spine4,0.02523889997974038,348,319,ok
portflap_first,CompleteFeatures,MiniBatchKMeans,leaf1,0.6122117000049911,350,217,ok
portflap_first,CompleteFeatures,MiniBatchKMeans,leaf2,0.6285593000357039,350,219,ok
portflap_first,CompleteFeatures,MiniBatchKMeans,leaf3,0.6081676000030711,349,159,ok
portflap_first,CompleteFeatures,MiniBatchKMeans,leaf5,0.5720058999722824,348,149,ok
portflap_first,CompleteFeatures,MiniBatchKMeans,leaf6,0.6951072000083514,348,183,ok
portflap_first,CompleteFeatures,MiniBatchKMeans,leaf7,0.5984604000113904,350,225,ok
portflap_first,CompleteFeatures,MiniBatchKMeans,leaf8,0.6238554000156,349,94,ok
portflap_first,CompleteFeatures,MiniBatchKMeans,spine1,0.5960592000046745,348,265,ok
portflap_first,CompleteFeatures,MiniBatchKMeans,spine2,0.5929285000311211,347,266,ok
portflap_first,CompleteFeatures,MiniBatchKMeans,spine3,0.5876479999860749,347,136,ok
portflap_first,CompleteFeatures,MiniBatchKMeans,spine4,0.6222063999739476,348,319,ok
