dataset,feature_mode,method,detection_type,k,alarm_precision,event_recall,alarm_event_f1,precision,recall,f1,true_positive_alarms,false_positives,false_alarm_rate_per_hour,detection_delay_seconds_mean,detection_delay_seconds_median,runtime_seconds,number_of_alarms,event_level_detection_count,event_count
bgpclear_first,CompleteFeatures,DenStream,temporal,3,0.03767123287671233,0.9090909090909091,0.0723446234791187,0.03767123287671233,0.9090909090909091,0.0723446234791187,11,281,338.440950150552,26.7,9.0,1.3194990999763831,292,10,11
bgpclear_first,CompleteFeatures,DenStream,temporal,4,0.05,0.9090909090909091,0.09478672985781991,0.05,0.9090909090909091,0.09478672985781991,12,228,274.6068919371027,11.7,13.5,1.3194990999763831,240,10,11
bgpclear_first,CompleteFeatures,DenStream,temporal,5,0.06349206349206349,0.9090909090909091,0.11869436201780414,0.06349206349206349,0.9090909090909091,0.11869436201780414,12,177,213.18166610906658,15.9,18.0,1.3194990999763831,189,10,11
bgpclear_first,CompleteFeatures,MiniBatchKMeans,spatial,1,0.07446808510638298,1.0,0.1386138613861386,0.07446808510638298,1.0,0.1386138613861386,196,2436,2933.9578454332554,20.545454545454547,9.0,5.118292300030589,2632,11,11
bgpclear_first,CompleteFeatures,MiniBatchKMeans,spatial,2,0.13549618320610687,1.0,0.23865546218487396,0.13549618320610687,1.0,0.23865546218487396,284,1812,2182.402141184343,6.090909090909091,1.0,5.118292300030589,2096,11,11
bgpclear_first,CompleteFeatures,MiniBatchKMeans,spatial,3,0.17364813404417365,1.0,0.2959117456197275,0.17364813404417365,1.0,0.2959117456197275,228,1085,1306.791569086651,9.272727272727273,6.0,5.118292300030589,1313,11,11
bgpclear_first,CompleteFeatures,MiniBatchKMeans,spatial,4,0.19138755980861244,1.0,0.32128514056224894,0.19138755980861244,1.0,0.32128514056224894,120,507,610.6390097022415,24.454545454545453,18.0,5.118292300030589,627,11,11
bgpclear_first,CompleteFeatures,MiniBatchKMeans,spatial,5,0.24623115577889448,0.9090909090909091,0.38750494266508506,0.24623115577889448,0.9090909090909091,0.38750494266508506,49,150,180.66242890598863,47.0,36.5,5.118292300030589,199,10,11
bgpclear_first,CompleteFeatures,MiniBatchKMeans,temporal,1,0.0,0.0,0.0,0.0,0.0,0.0,0,12,14.45299431247909,,,5.118292300030589,12,0,11
bgpclear_first,CompleteFeatures,MiniBatchKMeans,temporal,2,0.0,0.0,0.0,0.0,0.0,0.0,0,11,13.2485781197725,,,5.118292300030589,11,0,11
bgpclear_first,CompleteFeatures,MiniBatchKMeans,temporal,3,0.0,0.0,0.0,0.0,0.0,0.0,0,11,13.2485781197725,,,5.118292300030589,11,0,11
bgpclear_first,CompleteFeatures,MiniBatchKMeans,temporal,4,0.0,0.0,0.0,0.0,0.0,0.0,0,11,13.2485781197725,,,5.118292300030589,11,0,11
bgpclear_first,CompleteFeatures,MiniBatchKMeans,temporal,5,0.0,0.0,0.0,0.0,0.0,0.0,0,11,13.2485781197725,,,5.118292300030589,11,0,11
bgpclear_first,ControlPlane,DenStream,spatial,1,0.5182926829268293,1.0,0.6827309236947792,0.5182926829268293,1.0,0.6827309236947792,85,79,95.14887922382067,2.1818181818181817,1.0,0.3007274999981746,164,11,11
bgpclear_first,ControlPlane,DenStream,spatial,2,0.6666666666666666,0.8181818181818182,0.7346938775510203,0.6666666666666666,0.8181818181818182,0.7346938775510203,32,16,19.270659083305453,11.222222222222221,6.0,0.3007274999981746,48,9,11
bgpclear_first,ControlPlane,DenStream,spatial,3,0.7142857142857143,0.6363636363636364,0.673076923076923,0.7142857142857143,0.6363636363636364,0.673076923076923,10,4,4.817664770826363,24.142857142857142,22.0,0.3007274999981746,14,7,11
bgpclear_first,ControlPlane,DenStream,spatial,4,1.0,0.2727272727272727,0.42857142857142855,1.0,0.2727272727272727,0.42857142857142855,5,0,0.0,31.333333333333332,35.0,0.3007274999981746,5,3,11
bgpclear_first,ControlPlane,DenStream,spatial,5,1.0,0.09090909090909091,0.16666666666666669,1.0,0.09090909090909091,0.16666666666666669,1,0,0.0,35.0,35.0,0.3007274999981746,1,1,11
bgpclear_first,ControlPlane,DenStream,temporal,1,0.4,1.0,0.5714285714285715,0.4,1.0,0.5714285714285715,34,51,61.42522582803613,3.3636363636363638,1.0,0.3007274999981746,85,11,11
bgpclear_first,ControlPlane,DenStream,temporal,2,0.42168674698795183,1.0,0.5932203389830509,0.42168674698795183,1.0,0.5932203389830509,35,48,57.81197724991636,6.0,5.0,0.3007274999981746,83,11,11
bgpclear_first,ControlPlane,DenStream,temporal,3,0.4827586206896552,1.0,0.6511627906976745,0.4827586206896552,1.0,0.6511627906976745,14,15,18.06624289059886,39.72727272727273,44.0,0.3007274999981746,29,11,11
bgpclear_first,ControlPlane,DenStream,temporal,4,0.5263157894736842,0.8181818181818182,0.6405693950177936,0.5263157894736842,0.8181818181818182,0.6405693950177936,10,9,10.839745734359317,43.0,48.0,0.3007274999981746,19,9,11
bgpclear_first,ControlPlane,DenStream,temporal,5,0.5714285714285714,0.36363636363636365,0.4444444444444444,0.5714285714285714,0.36363636363636365,0.4444444444444444,4,3,3.6132485781197725,39.75,41.5,0.3007274999981746,7,4,11
